Player,G,MP,FG,FGA,FG%,3P%,FT%,TRB,AST,PTS
Kyle Guy,38,1345,198,441,0.449,0.426,0.833,171,78,586
De'Andre Hunter,38,1234,205,394,0.52,0.438,0.783,193,75,579
Ty Jerome,37,1256,178,409,0.435,0.399,0.736,157,202,502
Mamadi Diakite,38,829,121,220,0.55,0.294,0.7,168,12,282
Braxton Key,38,751,74,171,0.433,0.305,0.731,200,38,215
Kihei Clark,38,1019,55,157,0.35,0.341,0.825,89,97,172
Jay Huff,34,317,58,96,0.604,0.452,0.667,73,8,150
Jack Salt,37,615,56,93,0.602,,0.511,138,16,136
Kody Stattmann,18,73,9,21,0.429,0.267,0.889,11,2,30
Marco Anthony,22,119,8,27,0.296,0.286,0.667,12,11,26
Grant Kersey,10,17,3,3,1,1,1,2,1,13
Austin Katstra,11,29,4,10,0.4,0.25,,6,3,10
Jayden Nixon,14,42,3,10,0.3,0,0.5,8,1,8
Francesco Badocchi,11,28,2,4,0.5,0,0.5,6,0,
